 -0.1021541392470295E+01 -0.2023883960897323E-01  0.6639750411701706E-02 -0.7633468127386724E-03  0.9174431996312042E-02 -0.3518493590994210E-02  0.1409260896116979E-03  0.5049657802853312E-03 -0.4613192120844313E-03  0.9767265312493395E-03
  0.9474058183737424E-03  0.9315710338578393E-03  0.1067172242918742E-01 -0.3452448028278520E-02  0.2678993107388449E-01 -0.2043651751115912E-02  0.8987061197546214E-01 -0.1670804974962706E-01 -0.9223390148244625E-02 -0.1965132458747243E-02
 -0.1183924154935541E-01 -0.3244038937007464E-02 -0.1762360236792467E-03  0.1333997213729207E-03  0.4436388324432179E-03  0.5591036271628814E-03 -0.1661667608571278E-02  0.1187559829523153E-03 -0.1338850142591719E-01 -0.4704586606138926E-02
 -0.2332258903269049E-01 -0.2189975809885740E-02  0.1872666125807699E-01 -0.1348781538739025E+01 -0.9917744931585266E-03  0.3248741000622298E-01  0.1961075546514925E-02  0.2739317230446443E-01 -0.7089132909933175E-02  0.1715188263969935E-01
 -0.7495537541429819E-02  0.1585713166116751E-01 -0.7672223731910358E-02  0.1863338495257551E-01  0.4084132317278555E-04  0.4593603148168807E-01 -0.1525498566049600E-01  0.8711930900197083E-01 -0.3879198305706958E-01 -0.2107497033166514E+00
  0.1966438325306008E-01  0.1514571366585901E-01  0.1197969478816441E-01  0.1251650480548006E-01  0.1299794035722201E-01  0.8493424526071658E-02  0.1369585720951920E-01  0.7939740168926559E-02  0.1682532395573698E-01  0.7789261950036563E-02
  0.2407977678052009E-01  0.2127236891122058E-01  0.3924804457874415E-01  0.2399309257993860E-01  0.6168619224136880E-02 -0.4988984646028772E-02 -0.1047898234079513E+01 -0.7115716509145209E-02  0.1196549567932588E-01 -0.8417918023659371E-02
  0.2840451395671199E-02 -0.4929965125390200E-02  0.2344153763932428E-02 -0.3725641828828299E-02  0.2942859770274270E-02 -0.4784257652492871E-02  0.1923564714187172E-01 -0.1311299187914390E-01  0.8006544296303885E-02 -0.5893997890097769E-02
 -0.1224701703826859E-01 -0.4445044474726950E-02  0.1262075758702791E+00 -0.7228355160752425E-02 -0.1675119283914287E-01 -0.5508960673471302E-02 -0.5134719281506338E-02 -0.2511113697383627E-02 -0.3887631335341735E-02 -0.2245799176453854E-02
 -0.4463264140183060E-02 -0.2419582182270457E-02 -0.2841678802637920E-01 -0.8618574931306761E-02 -0.8167016151400452E-02 -0.2001599227075340E-02  0.1448690055562905E-02  0.2083853818500392E-01  0.2530461240233219E-01 -0.1416296876645620E+01
