#z_se      e_lda         e_u5j8            e_u8j8            e_u10j8           e_u8j9            e_u5j8_flldc     e_u8j8_flldc    
0.22   -14790.75369981   -14790.34187734   -14810.25894985   -14815.44632252  -14810.15073632   -14790.41591375  -14790.24226223 
0.23   -14790.76030936   -14790.36334098   -14810.28494403   -14815.47558301  -14810.17727795   -14790.42899928  -14790.25883285 
0.24   -14790.75951262   -14790.37704879   -14810.30427866   -14815.49783382  -14810.19723723   -14790.43427764  -14790.26637111 
0.25   -14790.75234159   -14790.38349214   -14810.31658081   -14815.51301274  -14810.20999928   -14790.43429831  -14790.26997963 
0.26   -14790.73939726   -14790.38435351   -14810.32240051   -14815.52107755  -14810.21644398   -14790.42918104  -14790.26826140 
0.27   -14790.72179285   -14790.37957567   -14810.32222018   -14815.52373462  -14810.21691950   -14790.41928426  -14790.26151100 
0.28   -14790.69987145   -14790.36975962   -14810.31673582   -14815.52079848  -14810.21230330   -14790.40514228  -14790.25108452 
0.29   -14790.67401788   -14790.35544256   -14810.30655189   -14815.51280053  -14810.20300512   -14790.38780881  -14790.23687262 
0.30   -14790.64478442   -14790.33695347   -14810.29209047   -14815.50114951  -14810.18930957   -14790.36707221  -14790.22068952 
