#z_se      e_lda         e_u3j8             e_u4j8           e_u5j8            e_u8j8            e_u8j8_flldc
0.22   -14790.75369981   -14790.51071969   -14790.42048310   -14790.34187734   -14810.25894985   -14790.24226223
0.23   -14790.76030936   -14790.52781615   -14790.43978124   -14790.36334098   -14810.28494403   -14790.25883285
0.24   -14790.75951262   -14790.53667371   -14790.45136449   -14790.37704879   -14810.30427866   -14790.26637111
0.25   -14790.75234159   -14790.53891676   -14790.45604628   -14790.38349214   -14810.31658081   -14790.26997963
0.26   -14790.73939726   -14790.53518098   -14790.45463006   -14790.38435351   -14810.32240051   -14790.26826140
0.27   -14790.72179285   -14790.52621784   -14790.44777803   -14790.37957567   -14810.32222018   -14790.26151100
0.28   -14790.69987145   -14790.51231426   -14790.43616467   -14790.36975962   -14810.31673582   -14790.25108452
0.29   -14790.67401788   -14790.49429042   -14790.42014312   -14790.35544256   -14810.30655189   -14790.23687262
0.30   -14790.64478442   -14790.47258997   -14790.40015577   -14790.33695347   -14810.29209047   -14790.22068952
